condition,protocol,fold_id,train_n,test_n,train_task_ids,test_task_ids,cut,train_errors,train_points,train_objective,candidate_count,optimal_cut_count,optimal_cuts,tie_after_abs_count
explicit_bare,immediate,0,61,16,"[""HumanEval/1"", ""HumanEval/100"", ""HumanEval/101"", ""HumanEval/103"", ""HumanEval/104"", ""HumanEval/107"", ""HumanEval/109"", ""HumanEval/112"", ""HumanEval/115"", ""HumanEval/118"", ""HumanEval/121"", ""HumanEval/122"", ""HumanEval/124"", ""HumanEval/127"", ""HumanEval/128"", ""HumanEval/129"", ""HumanEval/13"", ""HumanEval/132"", ""HumanEval/138"", ""HumanEval/140"", ""HumanEval/141"", ""HumanEval/143"", ""HumanEval/146"", ""HumanEval/147"", ""HumanEval/152"", ""HumanEval/153"", ""HumanEval/158"", ""HumanEval/16"", ""HumanEval/18"", ""HumanEval/19"", ""HumanEval/22"", ""HumanEval/23"", ""HumanEval/24"", ""HumanEval/25"", ""HumanEval/36"", ""HumanEval/38"", ""HumanEval/42"", ""HumanEval/43"", ""HumanEval/46"", ""HumanEval/48"", ""HumanEval/50"", ""HumanEval/51"", ""HumanEval/55"", ""HumanEval/56"", ""HumanEval/59"", ""HumanEval/60"", ""HumanEval/63"", ""HumanEval/64"", ""HumanEval/65"", ""HumanEval/66"", ""HumanEval/67"", ""HumanEval/74"", ""HumanEval/76"", ""HumanEval/78"", ""HumanEval/81"", ""HumanEval/87"", ""HumanEval/9"", ""HumanEval/91"", ""HumanEval/93"", ""HumanEval/97"", ""HumanEval/98""]","[""HumanEval/102"", ""HumanEval/108"", ""HumanEval/116"", ""HumanEval/120"", ""HumanEval/142"", ""HumanEval/148"", ""HumanEval/151"", ""HumanEval/163"", ""HumanEval/27"", ""HumanEval/28"", ""HumanEval/3"", ""HumanEval/33"", ""HumanEval/5"", ""HumanEval/58"", ""HumanEval/68"", ""HumanEval/69""]",-6.999999819439836,142,549,0.2586520947176685,204,1,[-6.999999819439836],1
explicit_bare,immediate,1,62,15,"[""HumanEval/1"", ""HumanEval/101"", ""HumanEval/102"", ""HumanEval/103"", ""HumanEval/104"", ""HumanEval/107"", ""HumanEval/108"", ""HumanEval/109"", ""HumanEval/112"", ""HumanEval/116"", ""HumanEval/118"", ""HumanEval/120"", ""HumanEval/121"", ""HumanEval/122"", ""HumanEval/127"", ""HumanEval/128"", ""HumanEval/129"", ""HumanEval/132"", ""HumanEval/140"", ""HumanEval/141"", ""HumanEval/142"", ""HumanEval/143"", ""HumanEval/146"", ""HumanEval/147"", ""HumanEval/148"", ""HumanEval/151"", ""HumanEval/152"", ""HumanEval/153"", ""HumanEval/16"", ""HumanEval/163"", ""HumanEval/18"", ""HumanEval/19"", ""HumanEval/24"", ""HumanEval/25"", ""HumanEval/27"", ""HumanEval/28"", ""HumanEval/3"", ""HumanEval/33"", ""HumanEval/36"", ""HumanEval/38"", ""HumanEval/42"", ""HumanEval/43"", ""HumanEval/46"", ""HumanEval/48"", ""HumanEval/5"", ""HumanEval/51"", ""HumanEval/55"", ""HumanEval/56"", ""HumanEval/58"", ""HumanEval/60"", ""HumanEval/64"", ""HumanEval/66"", ""HumanEval/67"", ""HumanEval/68"", ""HumanEval/69"", ""HumanEval/78"", ""HumanEval/81"", ""HumanEval/87"", ""HumanEval/9"", ""HumanEval/91"", ""HumanEval/93"", ""HumanEval/97""]","[""HumanEval/100"", ""HumanEval/115"", ""HumanEval/124"", ""HumanEval/13"", ""HumanEval/138"", ""HumanEval/158"", ""HumanEval/22"", ""HumanEval/23"", ""HumanEval/50"", ""HumanEval/59"", ""HumanEval/63"", ""HumanEval/65"", ""HumanEval/74"", ""HumanEval/76"", ""HumanEval/98""]",-6.999999819439836,142,558,0.25448028673835127,201,3,"[-7.500000152911525, -7.250000132829882, -6.999999819439836]",1
explicit_bare,immediate,2,61,16,"[""HumanEval/100"", ""HumanEval/101"", ""HumanEval/102"", ""HumanEval/103"", ""HumanEval/104"", ""HumanEval/108"", ""HumanEval/109"", ""HumanEval/112"", ""HumanEval/115"", ""HumanEval/116"", ""HumanEval/120"", ""HumanEval/121"", ""HumanEval/124"", ""HumanEval/128"", ""HumanEval/13"", ""HumanEval/132"", ""HumanEval/138"", ""HumanEval/140"", ""HumanEval/141"", ""HumanEval/142"", ""HumanEval/146"", ""HumanEval/147"", ""HumanEval/148"", ""HumanEval/151"", ""HumanEval/153"", ""HumanEval/158"", ""HumanEval/16"", ""HumanEval/163"", ""HumanEval/18"", ""HumanEval/19"", ""HumanEval/22"", ""HumanEval/23"", ""HumanEval/25"", ""HumanEval/27"", ""HumanEval/28"", ""HumanEval/3"", ""HumanEval/33"", ""HumanEval/38"", ""HumanEval/42"", ""HumanEval/43"", ""HumanEval/46"", ""HumanEval/5"", ""HumanEval/50"", ""HumanEval/51"", ""HumanEval/58"", ""HumanEval/59"", ""HumanEval/63"", ""HumanEval/64"", ""HumanEval/65"", ""HumanEval/66"", ""HumanEval/67"", ""HumanEval/68"", ""HumanEval/69"", ""HumanEval/74"", ""HumanEval/76"", ""HumanEval/78"", ""HumanEval/81"", ""HumanEval/87"", ""HumanEval/9"", ""HumanEval/91"", ""HumanEval/98""]","[""HumanEval/1"", ""HumanEval/107"", ""HumanEval/118"", ""HumanEval/122"", ""HumanEval/127"", ""HumanEval/129"", ""HumanEval/143"", ""HumanEval/152"", ""HumanEval/24"", ""HumanEval/36"", ""HumanEval/48"", ""HumanEval/55"", ""HumanEval/56"", ""HumanEval/60"", ""HumanEval/93"", ""HumanEval/97""]",-6.50000017543789,138,549,0.25136612021857924,205,2,"[-6.999999819439836, -6.50000017543789]",1
explicit_bare,immediate,3,61,16,"[""HumanEval/1"", ""HumanEval/100"", ""HumanEval/101"", ""HumanEval/102"", ""HumanEval/107"", ""HumanEval/108"", ""HumanEval/109"", ""HumanEval/115"", ""HumanEval/116"", ""HumanEval/118"", ""HumanEval/120"", ""HumanEval/121"", ""HumanEval/122"", ""HumanEval/124"", ""HumanEval/127"", ""HumanEval/129"", ""HumanEval/13"", ""HumanEval/132"", ""HumanEval/138"", ""HumanEval/140"", ""HumanEval/141"", ""HumanEval/142"", ""HumanEval/143"", ""HumanEval/148"", ""HumanEval/151"", ""HumanEval/152"", ""HumanEval/153"", ""HumanEval/158"", ""HumanEval/16"", ""HumanEval/163"", ""HumanEval/19"", ""HumanEval/22"", ""HumanEval/23"", ""HumanEval/24"", ""HumanEval/25"", ""HumanEval/27"", ""HumanEval/28"", ""HumanEval/3"", ""HumanEval/33"", ""HumanEval/36"", ""HumanEval/43"", ""HumanEval/48"", ""HumanEval/5"", ""HumanEval/50"", ""HumanEval/51"", ""HumanEval/55"", ""HumanEval/56"", ""HumanEval/58"", ""HumanEval/59"", ""HumanEval/60"", ""HumanEval/63"", ""HumanEval/65"", ""HumanEval/66"", ""HumanEval/68"", ""HumanEval/69"", ""HumanEval/74"", ""HumanEval/76"", ""HumanEval/81"", ""HumanEval/93"", ""HumanEval/97"", ""HumanEval/98""]","[""HumanEval/103"", ""HumanEval/104"", ""HumanEval/112"", ""HumanEval/128"", ""HumanEval/146"", ""HumanEval/147"", ""HumanEval/18"", ""HumanEval/38"", ""HumanEval/42"", ""HumanEval/46"", ""HumanEval/64"", ""HumanEval/67"", ""HumanEval/78"", ""HumanEval/87"", ""HumanEval/9"", ""HumanEval/91""]",-0.9999999701976776,150,549,0.273224043715847,210,2,"[-1.5000000596046448, -0.9999999701976776]",1
explicit_bare,immediate,4,63,14,"[""HumanEval/1"", ""HumanEval/100"", ""HumanEval/102"", ""HumanEval/103"", ""HumanEval/104"", ""HumanEval/107"", ""HumanEval/108"", ""HumanEval/112"", ""HumanEval/115"", ""HumanEval/116"", ""HumanEval/118"", ""HumanEval/120"", ""HumanEval/122"", ""HumanEval/124"", ""HumanEval/127"", ""HumanEval/128"", ""HumanEval/129"", ""HumanEval/13"", ""HumanEval/138"", ""HumanEval/142"", ""HumanEval/143"", ""HumanEval/146"", ""HumanEval/147"", ""HumanEval/148"", ""HumanEval/151"", ""HumanEval/152"", ""HumanEval/158"", ""HumanEval/163"", ""HumanEval/18"", ""HumanEval/22"", ""HumanEval/23"", ""HumanEval/24"", ""HumanEval/27"", ""HumanEval/28"", ""HumanEval/3"", ""HumanEval/33"", ""HumanEval/36"", ""HumanEval/38"", ""HumanEval/42"", ""HumanEval/46"", ""HumanEval/48"", ""HumanEval/5"", ""HumanEval/50"", ""HumanEval/55"", ""HumanEval/56"", ""HumanEval/58"", ""HumanEval/59"", ""HumanEval/60"", ""HumanEval/63"", ""HumanEval/64"", ""HumanEval/65"", ""HumanEval/67"", ""HumanEval/68"", ""HumanEval/69"", ""HumanEval/74"", ""HumanEval/76"", ""HumanEval/78"", ""HumanEval/87"", ""HumanEval/9"", ""HumanEval/91"", ""HumanEval/93"", ""HumanEval/97"", ""HumanEval/98""]","[""HumanEval/101"", ""HumanEval/109"", ""HumanEval/121"", ""HumanEval/132"", ""HumanEval/140"", ""HumanEval/141"", ""HumanEval/153"", ""HumanEval/16"", ""HumanEval/19"", ""HumanEval/25"", ""HumanEval/43"", ""HumanEval/51"", ""HumanEval/66"", ""HumanEval/81""]",-6.50000017543789,159,567,0.2804232804232804,204,3,"[-6.999999819439836, -6.749999969732016, -6.50000017543789]",1
explicit_bare,rts,0,61,16,"[""HumanEval/1"", ""HumanEval/100"", ""HumanEval/101"", ""HumanEval/103"", ""HumanEval/104"", ""HumanEval/107"", ""HumanEval/109"", ""HumanEval/112"", ""HumanEval/115"", ""HumanEval/118"", ""HumanEval/121"", ""HumanEval/122"", ""HumanEval/124"", ""HumanEval/127"", ""HumanEval/128"", ""HumanEval/129"", ""HumanEval/13"", ""HumanEval/132"", ""HumanEval/138"", ""HumanEval/140"", ""HumanEval/141"", ""HumanEval/143"", ""HumanEval/146"", ""HumanEval/147"", ""HumanEval/152"", ""HumanEval/153"", ""HumanEval/158"", ""HumanEval/16"", ""HumanEval/18"", ""HumanEval/19"", ""HumanEval/22"", ""HumanEval/23"", ""HumanEval/24"", ""HumanEval/25"", ""HumanEval/36"", ""HumanEval/38"", ""HumanEval/42"", ""HumanEval/43"", ""HumanEval/46"", ""HumanEval/48"", ""HumanEval/50"", ""HumanEval/51"", ""HumanEval/55"", ""HumanEval/56"", ""HumanEval/59"", ""HumanEval/60"", ""HumanEval/63"", ""HumanEval/64"", ""HumanEval/65"", ""HumanEval/66"", ""HumanEval/67"", ""HumanEval/74"", ""HumanEval/76"", ""HumanEval/78"", ""HumanEval/81"", ""HumanEval/87"", ""HumanEval/9"", ""HumanEval/91"", ""HumanEval/93"", ""HumanEval/97"", ""HumanEval/98""]","[""HumanEval/102"", ""HumanEval/108"", ""HumanEval/116"", ""HumanEval/120"", ""HumanEval/142"", ""HumanEval/148"", ""HumanEval/151"", ""HumanEval/163"", ""HumanEval/27"", ""HumanEval/28"", ""HumanEval/3"", ""HumanEval/33"", ""HumanEval/5"", ""HumanEval/58"", ""HumanEval/68"", ""HumanEval/69""]",11.374998092651367,125,549,0.22768670309653916,467,2,"[-15.09375, 11.374998092651367]",1
explicit_bare,rts,1,62,15,"[""HumanEval/1"", ""HumanEval/101"", ""HumanEval/102"", ""HumanEval/103"", ""HumanEval/104"", ""HumanEval/107"", ""HumanEval/108"", ""HumanEval/109"", ""HumanEval/112"", ""HumanEval/116"", ""HumanEval/118"", ""HumanEval/120"", ""HumanEval/121"", ""HumanEval/122"", ""HumanEval/127"", ""HumanEval/128"", ""HumanEval/129"", ""HumanEval/132"", ""HumanEval/140"", ""HumanEval/141"", ""HumanEval/142"", ""HumanEval/143"", ""HumanEval/146"", ""HumanEval/147"", ""HumanEval/148"", ""HumanEval/151"", ""HumanEval/152"", ""HumanEval/153"", ""HumanEval/16"", ""HumanEval/163"", ""HumanEval/18"", ""HumanEval/19"", ""HumanEval/24"", ""HumanEval/25"", ""HumanEval/27"", ""HumanEval/28"", ""HumanEval/3"", ""HumanEval/33"", ""HumanEval/36"", ""HumanEval/38"", ""HumanEval/42"", ""HumanEval/43"", ""HumanEval/46"", ""HumanEval/48"", ""HumanEval/5"", ""HumanEval/51"", ""HumanEval/55"", ""HumanEval/56"", ""HumanEval/58"", ""HumanEval/60"", ""HumanEval/64"", ""HumanEval/66"", ""HumanEval/67"", ""HumanEval/68"", ""HumanEval/69"", ""HumanEval/78"", ""HumanEval/81"", ""HumanEval/87"", ""HumanEval/9"", ""HumanEval/91"", ""HumanEval/93"", ""HumanEval/97""]","[""HumanEval/100"", ""HumanEval/115"", ""HumanEval/124"", ""HumanEval/13"", ""HumanEval/138"", ""HumanEval/158"", ""HumanEval/22"", ""HumanEval/23"", ""HumanEval/50"", ""HumanEval/59"", ""HumanEval/63"", ""HumanEval/65"", ""HumanEval/74"", ""HumanEval/76"", ""HumanEval/98""]",18.390625,131,558,0.23476702508960573,464,4,"[18.390625, 18.65625, 18.7578125, 18.9296875]",1
explicit_bare,rts,2,61,16,"[""HumanEval/100"", ""HumanEval/101"", ""HumanEval/102"", ""HumanEval/103"", ""HumanEval/104"", ""HumanEval/108"", ""HumanEval/109"", ""HumanEval/112"", ""HumanEval/115"", ""HumanEval/116"", ""HumanEval/120"", ""HumanEval/121"", ""HumanEval/124"", ""HumanEval/128"", ""HumanEval/13"", ""HumanEval/132"", ""HumanEval/138"", ""HumanEval/140"", ""HumanEval/141"", ""HumanEval/142"", ""HumanEval/146"", ""HumanEval/147"", ""HumanEval/148"", ""HumanEval/151"", ""HumanEval/153"", ""HumanEval/158"", ""HumanEval/16"", ""HumanEval/163"", ""HumanEval/18"", ""HumanEval/19"", ""HumanEval/22"", ""HumanEval/23"", ""HumanEval/25"", ""HumanEval/27"", ""HumanEval/28"", ""HumanEval/3"", ""HumanEval/33"", ""HumanEval/38"", ""HumanEval/42"", ""HumanEval/43"", ""HumanEval/46"", ""HumanEval/5"", ""HumanEval/50"", ""HumanEval/51"", ""HumanEval/58"", ""HumanEval/59"", ""HumanEval/63"", ""HumanEval/64"", ""HumanEval/65"", ""HumanEval/66"", ""HumanEval/67"", ""HumanEval/68"", ""HumanEval/69"", ""HumanEval/74"", ""HumanEval/76"", ""HumanEval/78"", ""HumanEval/81"", ""HumanEval/87"", ""HumanEval/9"", ""HumanEval/91"", ""HumanEval/98""]","[""HumanEval/1"", ""HumanEval/107"", ""HumanEval/118"", ""HumanEval/122"", ""HumanEval/127"", ""HumanEval/129"", ""HumanEval/143"", ""HumanEval/152"", ""HumanEval/24"", ""HumanEval/36"", ""HumanEval/48"", ""HumanEval/55"", ""HumanEval/56"", ""HumanEval/60"", ""HumanEval/93"", ""HumanEval/97""]",-15.09375,136,549,0.24772313296903462,471,1,[-15.09375],1
explicit_bare,rts,3,61,16,"[""HumanEval/1"", ""HumanEval/100"", ""HumanEval/101"", ""HumanEval/102"", ""HumanEval/107"", ""HumanEval/108"", ""HumanEval/109"", ""HumanEval/115"", ""HumanEval/116"", ""HumanEval/118"", ""HumanEval/120"", ""HumanEval/121"", ""HumanEval/122"", ""HumanEval/124"", ""HumanEval/127"", ""HumanEval/129"", ""HumanEval/13"", ""HumanEval/132"", ""HumanEval/138"", ""HumanEval/140"", ""HumanEval/141"", ""HumanEval/142"", ""HumanEval/143"", ""HumanEval/148"", ""HumanEval/151"", ""HumanEval/152"", ""HumanEval/153"", ""HumanEval/158"", ""HumanEval/16"", ""HumanEval/163"", ""HumanEval/19"", ""HumanEval/22"", ""HumanEval/23"", ""HumanEval/24"", ""HumanEval/25"", ""HumanEval/27"", ""HumanEval/28"", ""HumanEval/3"", ""HumanEval/33"", ""HumanEval/36"", ""HumanEval/43"", ""HumanEval/48"", ""HumanEval/5"", ""HumanEval/50"", ""HumanEval/51"", ""HumanEval/55"", ""HumanEval/56"", ""HumanEval/58"", ""HumanEval/59"", ""HumanEval/60"", ""HumanEval/63"", ""HumanEval/65"", ""HumanEval/66"", ""HumanEval/68"", ""HumanEval/69"", ""HumanEval/74"", ""HumanEval/76"", ""HumanEval/81"", ""HumanEval/93"", ""HumanEval/97"", ""HumanEval/98""]","[""HumanEval/103"", ""HumanEval/104"", ""HumanEval/112"", ""HumanEval/128"", ""HumanEval/146"", ""HumanEval/147"", ""HumanEval/18"", ""HumanEval/38"", ""HumanEval/42"", ""HumanEval/46"", ""HumanEval/64"", ""HumanEval/67"", ""HumanEval/78"", ""HumanEval/87"", ""HumanEval/9"", ""HumanEval/91""]",11.374998092651367,136,549,0.24772313296903462,477,1,[11.374998092651367],1
explicit_bare,rts,4,63,14,"[""HumanEval/1"", ""HumanEval/100"", ""HumanEval/102"", ""HumanEval/103"", ""HumanEval/104"", ""HumanEval/107"", ""HumanEval/108"", ""HumanEval/112"", ""HumanEval/115"", ""HumanEval/116"", ""HumanEval/118"", ""HumanEval/120"", ""HumanEval/122"", ""HumanEval/124"", ""HumanEval/127"", ""HumanEval/128"", ""HumanEval/129"", ""HumanEval/13"", ""HumanEval/138"", ""HumanEval/142"", ""HumanEval/143"", ""HumanEval/146"", ""HumanEval/147"", ""HumanEval/148"", ""HumanEval/151"", ""HumanEval/152"", ""HumanEval/158"", ""HumanEval/163"", ""HumanEval/18"", ""HumanEval/22"", ""HumanEval/23"", ""HumanEval/24"", ""HumanEval/27"", ""HumanEval/28"", ""HumanEval/3"", ""HumanEval/33"", ""HumanEval/36"", ""HumanEval/38"", ""HumanEval/42"", ""HumanEval/46"", ""HumanEval/48"", ""HumanEval/5"", ""HumanEval/50"", ""HumanEval/55"", ""HumanEval/56"", ""HumanEval/58"", ""HumanEval/59"", ""HumanEval/60"", ""HumanEval/63"", ""HumanEval/64"", ""HumanEval/65"", ""HumanEval/67"", ""HumanEval/68"", ""HumanEval/69"", ""HumanEval/74"", ""HumanEval/76"", ""HumanEval/78"", ""HumanEval/87"", ""HumanEval/9"", ""HumanEval/91"", ""HumanEval/93"", ""HumanEval/97"", ""HumanEval/98""]","[""HumanEval/101"", ""HumanEval/109"", ""HumanEval/121"", ""HumanEval/132"", ""HumanEval/140"", ""HumanEval/141"", ""HumanEval/153"", ""HumanEval/16"", ""HumanEval/19"", ""HumanEval/25"", ""HumanEval/43"", ""HumanEval/51"", ""HumanEval/66"", ""HumanEval/81""]",18.25,145,567,0.25573192239858905,478,2,"[18.25, 18.390625]",1
