task_id,z,population_partial,variant,representation,k_start,I_complete,I_valid_points,I_accuracy,I_fsrr,I_trr,I_direct_sequence_correct,I_tce,I_oracle_min_errors,I_oracle_fsrr_all,I_oracle_trr_all,I_correct_points,I_fsrr_gap,A_complete,A_valid_points,A_accuracy,A_fsrr,A_trr,A_direct_sequence_correct,A_tce,A_oracle_min_errors,A_oracle_fsrr_all,A_oracle_trr_all,A_correct_points,A_fsrr_gap,delta_accuracy,delta_fsrr,delta_trr,delta_direct_sequence_correct,delta_tce,delta_oracle_min_errors,delta_oracle_fsrr_all,delta_oracle_trr_all
HumanEval/114,0,False,original,bare,0,True,9,0.8888888888888888,True,True,False,1,0,True,True,8,0.24999944056617096,True,9,0.8888888888888888,True,True,False,1,0,True,True,8,10.164060592651367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HumanEval/114,0,False,original,bare,1,True,8,1.0,,,True,0,0,True,True,8,,True,8,1.0,,,True,0,0,True,True,8,,0.0,,,0.0,0.0,0.0,0.0,0.0
HumanEval/114,0,False,original,whitespace_union,0,True,9,0.8888888888888888,True,True,False,1,0,True,True,8,0.24999944056615853,True,9,0.8888888888888888,True,True,False,1,0,True,True,8,11.500000476606948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HumanEval/114,0,False,original,whitespace_union,1,True,8,1.0,,,True,0,0,True,True,8,,True,8,1.0,,,True,0,0,True,True,8,,0.0,,,0.0,0.0,0.0,0.0,0.0
HumanEval/114,0,False,explicit,bare,0,True,9,1.0,True,True,True,0,0,True,True,9,37.49999964237219,True,9,1.0,True,True,True,0,0,True,True,9,41.814453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HumanEval/114,0,False,explicit,bare,1,True,8,1.0,,,True,0,0,True,True,8,,True,8,1.0,,,True,0,0,True,True,8,,0.0,,,0.0,0.0,0.0,0.0,0.0
HumanEval/114,0,False,explicit,whitespace_union,0,True,9,1.0,True,True,True,0,0,True,True,9,37.49999964237216,True,9,1.0,True,True,True,0,0,True,True,9,44.74999999999937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HumanEval/114,0,False,explicit,whitespace_union,1,True,8,1.0,,,True,0,0,True,True,8,,True,8,1.0,,,True,0,0,True,True,8,,0.0,,,0.0,0.0,0.0,0.0,0.0
HumanEval/12,8,False,original,bare,0,True,9,1.0,,,True,0,0,True,True,9,,True,9,0.8888888888888888,,,False,2,0,True,True,8,,-0.1111111111111111,,,-1.0,2.0,0.0,0.0,0.0
HumanEval/12,8,False,original,bare,1,True,8,1.0,,,True,0,0,True,True,8,,True,8,0.875,,,False,2,0,True,True,7,,-0.125,,,-1.0,2.0,0.0,0.0,0.0
